ticker,key,distance_from_centroid
AAPL,AAPL_10-K_0000320193-20-000096,0.011984408
AAPL,AAPL_10-K_0000320193-21-000105,0.008418858
AAPL,AAPL_10-K_0000320193-22-000108,0.005149603
AAPL,AAPL_10-K_0000320193-23-000106,0.00686723
AAPL,AAPL_10-K_0000320193-24-000123,0.0076856017
MSFT,MSFT_10-K_0000950170-23-035122,0.0025736094
MSFT,MSFT_10-K_0000950170-24-087843,0.0123256445
MSFT,MSFT_10-K_0001564590-20-034944,0.009654224
MSFT,MSFT_10-K_0001564590-21-039151,0.0038502216
MSFT,MSFT_10-K_0001564590-22-026876,0.004109144
GOOGL,GOOGL_10-K_0001652044-20-000008,0.009899497
GOOGL,GOOGL_10-K_0001652044-21-000010,0.009167314
GOOGL,GOOGL_10-K_0001652044-22-000019,0.004125774
GOOGL,GOOGL_10-K_0001652044-23-000016,0.005505979
GOOGL,GOOGL_10-K_0001652044-24-000022,0.011314392
JPM,JPM_10-K_0000019617-20-000257,0.004418969
JPM,JPM_10-K_0000019617-21-000236,0.0044105053
JPM,JPM_10-K_0000019617-22-000272,0.0013168454
JPM,JPM_10-K_0000019617-23-000231,0.0024285913
JPM,JPM_10-K_0000019617-24-000225,0.0044175386
TSLA,TSLA_10-K_0000950170-22-000796,0.0046613216
TSLA,TSLA_10-K_0000950170-23-001409,0.006478548
TSLA,TSLA_10-K_0001564590-20-004475,0.011220515
TSLA,TSLA_10-K_0001564590-21-004599,0.0071803927
TSLA,TSLA_10-K_0001628280-24-002390,0.010867357
