filing,ticker,keyword,score
AAPL_10-K_0000320193-20-000096,AAPL,risks,0.3559
AAPL_10-K_0000320193-20-000096,AAPL,profitability,0.3255
AAPL_10-K_0000320193-20-000096,AAPL,statements,0.317
AAPL_10-K_0000320193-20-000096,AAPL,performance,0.2959
AAPL_10-K_0000320193-20-000096,AAPL,recession,0.2656
AAPL_10-K_0000320193-20-000096,AAPL,factors,0.261
AAPL_10-K_0000320193-20-000096,AAPL,future,0.2605
AAPL_10-K_0000320193-21-000105,AAPL,risks,0.4744
AAPL_10-K_0000320193-21-000105,AAPL,stock,0.3624
AAPL_10-K_0000320193-21-000105,AAPL,profitability,0.3602
AAPL_10-K_0000320193-21-000105,AAPL,liquidity,0.307
AAPL_10-K_0000320193-21-000105,AAPL,future,0.3045
AAPL_10-K_0000320193-21-000105,AAPL,condition,0.294
AAPL_10-K_0000320193-21-000105,AAPL,warranty,0.2824
AAPL_10-K_0000320193-21-000105,AAPL,recession,0.2787
AAPL_10-K_0000320193-21-000105,AAPL,statements,0.2533
AAPL_10-K_0000320193-22-000108,AAPL,risks,0.4378
AAPL_10-K_0000320193-22-000108,AAPL,liabilities,0.3753
AAPL_10-K_0000320193-22-000108,AAPL,profitability,0.3749
AAPL_10-K_0000320193-22-000108,AAPL,stock,0.3241
AAPL_10-K_0000320193-22-000108,AAPL,uncertainties,0.3158
AAPL_10-K_0000320193-22-000108,AAPL,strategic,0.3113
AAPL_10-K_0000320193-22-000108,AAPL,liquidity,0.2964
AAPL_10-K_0000320193-22-000108,AAPL,conditions,0.2955
AAPL_10-K_0000320193-22-000108,AAPL,future,0.2856
AAPL_10-K_0000320193-22-000108,AAPL,recession,0.2755
AAPL_10-K_0000320193-23-000106,AAPL,risks,0.4378
AAPL_10-K_0000320193-23-000106,AAPL,liabilities,0.3753
AAPL_10-K_0000320193-23-000106,AAPL,stock,0.3241
AAPL_10-K_0000320193-23-000106,AAPL,uncertainties,0.3158
AAPL_10-K_0000320193-23-000106,AAPL,macroeconomic,0.3139
AAPL_10-K_0000320193-23-000106,AAPL,liquidity,0.2964
AAPL_10-K_0000320193-23-000106,AAPL,future,0.2856
AAPL_10-K_0000320193-23-000106,AAPL,condition,0.2509
AAPL_10-K_0000320193-24-000123,AAPL,risks,0.4378
AAPL_10-K_0000320193-24-000123,AAPL,liabilities,0.3753
AAPL_10-K_0000320193-24-000123,AAPL,stock,0.3241
AAPL_10-K_0000320193-24-000123,AAPL,uncertainties,0.3158
AAPL_10-K_0000320193-24-000123,AAPL,macroeconomic,0.3139
AAPL_10-K_0000320193-24-000123,AAPL,liquidity,0.2964
AAPL_10-K_0000320193-24-000123,AAPL,future,0.2856
AAPL_10-K_0000320193-24-000123,AAPL,condition,0.2509
MSFT_10-K_0000950170-23-035122,MSFT,disclosures,0.427
MSFT_10-K_0000950170-23-035122,MSFT,uncertainties,0.4021
MSFT_10-K_0000950170-23-035122,MSFT,risks,0.372
MSFT_10-K_0000950170-23-035122,MSFT,future,0.3592
MSFT_10-K_0000950170-23-035122,MSFT,statements,0.3464
MSFT_10-K_0000950170-23-035122,MSFT,expect,0.3157
MSFT_10-K_0000950170-23-035122,MSFT,enterprise,0.2647
MSFT_10-K_0000950170-23-035122,MSFT,portfolio,0.2633
MSFT_10-K_0000950170-24-087843,MSFT,disclosures,0.427
MSFT_10-K_0000950170-24-087843,MSFT,uncertainties,0.4021
MSFT_10-K_0000950170-24-087843,MSFT,risks,0.372
MSFT_10-K_0000950170-24-087843,MSFT,future,0.3592
MSFT_10-K_0000950170-24-087843,MSFT,statements,0.3464
MSFT_10-K_0000950170-24-087843,MSFT,expect,0.3157
MSFT_10-K_0000950170-24-087843,MSFT,indirect,0.2829
MSFT_10-K_0000950170-24-087843,MSFT,enterprise,0.2647
MSFT_10-K_0000950170-24-087843,MSFT,portfolio,0.2633
MSFT_10-K_0001564590-20-034944,MSFT,disclosures,0.427
MSFT_10-K_0001564590-20-034944,MSFT,uncertainties,0.4021
MSFT_10-K_0001564590-20-034944,MSFT,risks,0.372
MSFT_10-K_0001564590-20-034944,MSFT,future,0.3592
MSFT_10-K_0001564590-20-034944,MSFT,statements,0.3464
MSFT_10-K_0001564590-20-034944,MSFT,strategic,0.3223
MSFT_10-K_0001564590-20-034944,MSFT,expect,0.3157
MSFT_10-K_0001564590-20-034944,MSFT,portfolio,0.2633
MSFT_10-K_0001564590-21-039151,MSFT,disclosures,0.427
MSFT_10-K_0001564590-21-039151,MSFT,uncertainties,0.4021
MSFT_10-K_0001564590-21-039151,MSFT,risks,0.372
MSFT_10-K_0001564590-21-039151,MSFT,future,0.3592
MSFT_10-K_0001564590-21-039151,MSFT,statements,0.3464
MSFT_10-K_0001564590-21-039151,MSFT,strategic,0.3223
MSFT_10-K_0001564590-21-039151,MSFT,investment,0.3188
MSFT_10-K_0001564590-21-039151,MSFT,expect,0.3157
MSFT_10-K_0001564590-22-026876,MSFT,disclosures,0.427
MSFT_10-K_0001564590-22-026876,MSFT,uncertainties,0.4021
MSFT_10-K_0001564590-22-026876,MSFT,risks,0.372
MSFT_10-K_0001564590-22-026876,MSFT,future,0.3592
MSFT_10-K_0001564590-22-026876,MSFT,statements,0.3464
MSFT_10-K_0001564590-22-026876,MSFT,expect,0.3157
MSFT_10-K_0001564590-22-026876,MSFT,enterprise,0.2647
MSFT_10-K_0001564590-22-026876,MSFT,portfolio,0.2633
GOOGL_10-K_0001652044-20-000008,GOOGL,disclosure,0.3962
GOOGL_10-K_0001652044-20-000008,GOOGL,risks,0.3896
GOOGL_10-K_0001652044-20-000008,GOOGL,statements,0.3284
GOOGL_10-K_0001652044-20-000008,GOOGL,uncertainties,0.3158
GOOGL_10-K_0001652044-20-000008,GOOGL,revision,0.3
GOOGL_10-K_0001652044-20-000008,GOOGL,forward,0.2881
GOOGL_10-K_0001652044-20-000008,GOOGL,documents,0.2689
GOOGL_10-K_0001652044-20-000008,GOOGL,terms,0.2516
GOOGL_10-K_0001652044-21-000010,GOOGL,disclosures,0.4247
GOOGL_10-K_0001652044-21-000010,GOOGL,risks,0.3896
GOOGL_10-K_0001652044-21-000010,GOOGL,statements,0.3284
GOOGL_10-K_0001652044-21-000010,GOOGL,uncertainties,0.3158
GOOGL_10-K_0001652044-21-000010,GOOGL,revision,0.3
GOOGL_10-K_0001652044-21-000010,GOOGL,forward,0.2881
GOOGL_10-K_0001652044-21-000010,GOOGL,documents,0.2689
GOOGL_10-K_0001652044-21-000010,GOOGL,terms,0.2516
GOOGL_10-K_0001652044-22-000019,GOOGL,risks,0.3706
GOOGL_10-K_0001652044-22-000019,GOOGL,statements,0.3359
GOOGL_10-K_0001652044-22-000019,GOOGL,uncertainties,0.3144
GOOGL_10-K_0001652044-22-000019,GOOGL,revision,0.3077
GOOGL_10-K_0001652044-22-000019,GOOGL,future,0.2969
GOOGL_10-K_0001652044-22-000019,GOOGL,documents,0.2725
GOOGL_10-K_0001652044-22-000019,GOOGL,terms,0.2613
GOOGL_10-K_0001652044-23-000016,GOOGL,risks,0.3706
GOOGL_10-K_0001652044-23-000016,GOOGL,statements,0.3359
GOOGL_10-K_0001652044-23-000016,GOOGL,uncertainties,0.3144
GOOGL_10-K_0001652044-23-000016,GOOGL,revision,0.3077
GOOGL_10-K_0001652044-23-000016,GOOGL,future,0.2969
GOOGL_10-K_0001652044-23-000016,GOOGL,documents,0.2725
GOOGL_10-K_0001652044-23-000016,GOOGL,terms,0.2613
GOOGL_10-K_0001652044-24-000022,GOOGL,risks,0.3281
GOOGL_10-K_0001652044-24-000022,GOOGL,revision,0.3188
GOOGL_10-K_0001652044-24-000022,GOOGL,statements,0.3181
GOOGL_10-K_0001652044-24-000022,GOOGL,uncertainties,0.2908
GOOGL_10-K_0001652044-24-000022,GOOGL,forward,0.2882
GOOGL_10-K_0001652044-24-000022,GOOGL,financial,0.2836
GOOGL_10-K_0001652044-24-000022,GOOGL,terms,0.2572
JPM_10-K_0000019617-20-000257,JPM,jpmorgan,0.5466
JPM_10-K_0000019617-20-000257,JPM,banking,0.3729
JPM_10-K_0000019617-20-000257,JPM,regulation,0.3452
JPM_10-K_0000019617-20-000257,JPM,chase,0.3156
JPM_10-K_0000019617-20-000257,JPM,bankruptcy,0.3149
JPM_10-K_0000019617-20-000257,JPM,securities,0.3033
JPM_10-K_0000019617-20-000257,JPM,risks,0.284
JPM_10-K_0000019617-21-000236,JPM,jpmorgan,0.4597
JPM_10-K_0000019617-21-000236,JPM,risks,0.4241
JPM_10-K_0000019617-21-000236,JPM,regulation,0.3219
JPM_10-K_0000019617-21-000236,JPM,chase,0.2743
JPM_10-K_0000019617-21-000236,JPM,profitability,0.2641
JPM_10-K_0000019617-21-000236,JPM,prosecution,0.2629
JPM_10-K_0000019617-21-000236,JPM,liquidity,0.2616
JPM_10-K_0000019617-22-000272,JPM,jpmorgan,0.4642
JPM_10-K_0000019617-22-000272,JPM,risks,0.4061
JPM_10-K_0000019617-22-000272,JPM,regulation,0.3193
JPM_10-K_0000019617-22-000272,JPM,chase,0.2721
JPM_10-K_0000019617-22-000272,JPM,liquidity,0.2664
JPM_10-K_0000019617-22-000272,JPM,profitability,0.2569
JPM_10-K_0000019617-23-000231,JPM,jpmorgan,0.4636
JPM_10-K_0000019617-23-000231,JPM,risks,0.339
JPM_10-K_0000019617-23-000231,JPM,bankruptcy,0.3226
JPM_10-K_0000019617-23-000231,JPM,regulatory,0.3031
JPM_10-K_0000019617-23-000231,JPM,chase,0.2836
JPM_10-K_0000019617-23-000231,JPM,liquidity,0.2687
JPM_10-K_0000019617-24-000225,JPM,jpmorgan,0.4747
JPM_10-K_0000019617-24-000225,JPM,chase,0.3037
JPM_10-K_0000019617-24-000225,JPM,bankruptcy,0.3036
JPM_10-K_0000019617-24-000225,JPM,risks,0.2849
JPM_10-K_0000019617-24-000225,JPM,regulatory,0.2773
JPM_10-K_0000019617-24-000225,JPM,expenses,0.2525
JPM_10-K_0000019617-24-000225,JPM,liquidity,0.2502
TSLA_10-K_0000950170-22-000796,TSLA,automotive,0.4144
TSLA_10-K_0000950170-22-000796,TSLA,manufacturability,0.3782
TSLA_10-K_0000950170-22-000796,TSLA,powertrain,0.3664
TSLA_10-K_0000950170-22-000796,TSLA,segments,0.361
TSLA_10-K_0000950170-22-000796,TSLA,service,0.3455
TSLA_10-K_0000950170-22-000796,TSLA,securities,0.3432
TSLA_10-K_0000950170-22-000796,TSLA,features,0.3342
TSLA_10-K_0000950170-22-000796,TSLA,overview,0.3188
TSLA_10-K_0000950170-22-000796,TSLA,requirements,0.2877
TSLA_10-K_0000950170-22-000796,TSLA,plan,0.2858
TSLA_10-K_0000950170-22-000796,TSLA,reportable,0.2765
TSLA_10-K_0000950170-22-000796,TSLA,additional,0.2754
TSLA_10-K_0000950170-22-000796,TSLA,efficiency,0.2678
TSLA_10-K_0000950170-23-001409,TSLA,business,0.386
TSLA_10-K_0000950170-23-001409,TSLA,automotive,0.3849
TSLA_10-K_0000950170-23-001409,TSLA,manufacturability,0.379
TSLA_10-K_0000950170-23-001409,TSLA,powertrain,0.3657
TSLA_10-K_0000950170-23-001409,TSLA,integrated,0.3406
TSLA_10-K_0000950170-23-001409,TSLA,utilities,0.3385
TSLA_10-K_0000950170-23-001409,TSLA,experience,0.3371
TSLA_10-K_0000950170-23-001409,TSLA,models,0.3082
TSLA_10-K_0000950170-23-001409,TSLA,segments,0.3069
TSLA_10-K_0000950170-23-001409,TSLA,upgrades,0.2827
TSLA_10-K_0000950170-23-001409,TSLA,customize,0.2561
TSLA_10-K_0001564590-20-004475,TSLA,tesla,0.4333
TSLA_10-K_0001564590-20-004475,TSLA,powertrain,0.396
TSLA_10-K_0001564590-20-004475,TSLA,consumer,0.386
TSLA_10-K_0001564590-20-004475,TSLA,manufacturability,0.3751
TSLA_10-K_0001564590-20-004475,TSLA,renewable,0.3706
TSLA_10-K_0001564590-20-004475,TSLA,innovating,0.3579
TSLA_10-K_0001564590-20-004475,TSLA,infrastructure,0.3512
TSLA_10-K_0001564590-20-004475,TSLA,pricing,0.3107
TSLA_10-K_0001564590-20-004475,TSLA,delivering,0.3104
TSLA_10-K_0001564590-20-004475,TSLA,maintaining,0.2916
TSLA_10-K_0001564590-20-004475,TSLA,232kwh,0.2866
TSLA_10-K_0001564590-20-004475,TSLA,components,0.2859
TSLA_10-K_0001564590-20-004475,TSLA,subsidiaries,0.2619
TSLA_10-K_0001564590-21-004599,TSLA,automotive,0.4524
TSLA_10-K_0001564590-21-004599,TSLA,powertrain,0.3808
TSLA_10-K_0001564590-21-004599,TSLA,manufacturability,0.3739
TSLA_10-K_0001564590-21-004599,TSLA,utility,0.3389
TSLA_10-K_0001564590-21-004599,TSLA,segments,0.336
TSLA_10-K_0001564590-21-004599,TSLA,customer,0.3355
TSLA_10-K_0001564590-21-004599,TSLA,securities,0.3114
TSLA_10-K_0001564590-21-004599,TSLA,requirements,0.2652
TSLA_10-K_0001564590-21-004599,TSLA,reportable,0.2591
TSLA_10-K_0001564590-21-004599,TSLA,additional,0.2563
TSLA_10-K_0001564590-21-004599,TSLA,deliveries,0.2515
TSLA_10-K_0001628280-24-002390,TSLA,superchargers,0.4283
TSLA_10-K_0001628280-24-002390,TSLA,risks,0.422
TSLA_10-K_0001628280-24-002390,TSLA,automotive,0.401
TSLA_10-K_0001628280-24-002390,TSLA,manufacturability,0.3969
TSLA_10-K_0001628280-24-002390,TSLA,electronics,0.3685
TSLA_10-K_0001628280-24-002390,TSLA,pricing,0.3453
TSLA_10-K_0001628280-24-002390,TSLA,upgrades,0.3278
TSLA_10-K_0001628280-24-002390,TSLA,filing,0.3033
TSLA_10-K_0001628280-24-002390,TSLA,deliveries,0.2877
TSLA_10-K_0001628280-24-002390,TSLA,requirements,0.2858
TSLA_10-K_0001628280-24-002390,TSLA,maintaining,0.2816
TSLA_10-K_0001628280-24-002390,TSLA,traction,0.2648
TSLA_10-K_0001628280-24-002390,TSLA,j3400,0.2507
